p,count,p_hat,predicted,epsilon_p,se,z_score
503,31237,0.0019943350083142515,0.00199203187250996,0.001156174173754243,1.1272752121312137e-05,0.20430998388912336
509,30943,0.001975564496022918,0.001968503937007874,0.0035867639796423045,1.1219683121155663e-05,0.6293011075981948
521,30166,0.0019259567135386788,0.0019230769230769232,0.001497491040112875,1.1078195862497776e-05,0.2599512138528242
523,30075,0.001920146793067552,0.0019157088122605363,0.0023166259812621437,1.1061505965618686e-05,0.40120945744727
541,28961,0.0018490231512561719,0.001851851851851852,-0.0015274983216672089,1.0855096538738216e-05,-0.2605873273982761
547,28642,0.0018286565069672758,0.0018315018315018315,-0.0015535471958674218,1.07952577041385e-05,-0.2635717101468474
557,28147,0.0017970530934155406,0.0017985611510791368,-0.0008384800609594345,1.0701737046540633e-05,-0.14091709196720661
563,27871,0.0017794317961624517,0.0017793594306049821,4.066944329772504e-05,1.064923296930487e-05,0.006795377439683127
569,27474,0.0017540852200411611,0.0017605633802816902,-0.0036795950166205182,1.0573250291848865e-05,-0.6126933593469541
571,27506,0.0017561282689980409,0.0017543859649122807,0.0009931133288834104,1.0579395204724001e-05,0.1646884393714834
577,27089,0.0017295047872787003,0.001736111111111111,-0.003805242527468611,1.0499035387950612e-05,-0.629231504447784
587,26735,0.001706903558193217,0.0017064846416382253,0.00024548510122524014,1.0430326982172038e-05,0.04016331949206694
593,26438,0.0016879415100621757,0.0016891891891891893,-0.00073862604319197,1.0372328263728554e-05,-0.12028920559490935
599,26275,0.001677534729438069,0.0016722408026755853,0.0031657682039651913,1.0340358112333323e-05,0.5119674488032979
601,25966,0.0016578065379481979,0.0016666666666666668,-0.005316077231081295,1.0279477370913011e-05,-0.8619240452379102
607,25742,0.0016435051952500388,0.0016501650165016502,-0.004035851678476532,1.0235115833781587e-05,-0.6506835252054798
613,25548,0.0016311192109489548,0.0016339869281045752,-0.0017550428992396672,1.0196538580595358e-05,-0.28124418232260234
617,25365,0.001619435524726798,0.0016233766233766235,-0.002427716768292454,1.0160013560715994e-05,-0.38790289267563693
619,25365,0.001619435524726798,0.0016181229773462784,0.0008111542811612971,1.0160013560715994e-05,0.1291875618743919
631,24996,0.0015958766164427772,0.0015873015873015873,0.005402268358949636,1.0085959879556215e-05,0.8501946511378777
641,24378,0.0015564202334630351,0.0015625,-0.0038910505836575737,9.960693943684718e-06,-0.6103758002543241
643,24349,0.0015545687203458627,0.001557632398753894,-0.0019668815379561,9.954776804012919e-06,-0.3077596282014403
647,24285,0.001550482622432103,0.0015479876160990713,0.0016117740911385514,9.941705748637242e-06,0.250963606861296
653,24082,0.0015375220306118964,0.0015337423312883436,0.0024643639589565502,9.900131101116855e-06,0.3817827546876046
659,23819,0.00152073072199754,0.001519756838905775,0.0006408150743812957,9.846005718457732e-06,0.09891148955349605
661,23675,0.0015115370016915808,0.0015151515151515152,-0.002385578883556727,9.816243315491418e-06,-0.3682175903515117
673,23388,0.0014932134063595644,0.001488095238095238,0.0034394090736273863,9.756652752801016e-06,0.5245823945980934
677,23082,0.0014736767507094008,0.0014792899408284023,-0.003794516520445046,9.692711197671396e-06,-0.5791145536606963
683,22949,0.001465185328482369,0.001466275659824047,-0.0007436059750243196,9.664786929837253e-06,-0.11281483488392108
691,22639,0.0014453932917125954,0.0014492753623188406,-0.0026786287183091506,9.599383113552548e-06,-0.404408341694838
701,22237,0.001419727489191792,0.0014285714285714286,-0.006190757565745497,9.513895664626677e-06,-0.9295812873499203
709,22211,0.0014180675119143274,0.0014124293785310734,0.003991798435343696,9.508340010636384e-06,0.5929671611392667
719,21727,0.0013871663964415194,0.001392757660167131,-0.004014527354989084,9.404316764665149e-06,-0.594542258148897
727,21573,0.0013773342233365353,0.0013774104683195593,-5.53538576754109e-05,9.370974941161838e-06,-0.0081362914214072
733,21360,0.0013637351787173036,0.001366120218579235,-0.0017458491789338337,9.32466173271897e-06,-0.2557776282181491
739,21190,0.0013528814811338795,0.0013550135501355014,-0.0015734669231969312,9.287531511061056e-06,-0.2295625052881557
743,21080,0.0013458585003446048,0.0013477088948787063,-0.0013729927443032475,9.263426335163952e-06,-0.1997527121338818
751,20834,0.0013301525614885911,0.0013333333333333333,-0.002385578883556616,9.20928883111365e-06,-0.34538734782602526
757,20667,0.0013194903997448743,0.0013227513227513227,-0.0024652577928749864,9.172353883381962e-06,-0.3555164844169743
761,20521,0.00131016898887911,0.0013157894736842105,-0.004271568451876484,9.13994051733049e-06,-0.6149366940018309
769,20499,0.001308764392721255,0.0013020833333333333,0.00513105360992383,9.135046287958682e-06,0.7313656852213661
